cycle, pedal, velocity, acceleration
1,-4.77E-80,3.14E-08,6.28E-07
2,0.014,0.0148417,0.296833
3,0.00322165,0.0311651,0.326468
4,-0.00369442,0.0319159,0.0150157
5,0.0117838,0.0400428,0.162539
6,0.0107064,0.0614276,0.427696
7,-0.0059815,0.0647998,0.0674453
8,0.00785125,0.0664686,0.0333755
9,0.0168639,0.0900572,0.471772
10,-0.00549268,0.0964092,0.12704
11,0.00504999,0.0963604,-0.000976347
12,0.0176591,0.117392,0.420633
13,-0.0018047,0.126905,0.190255
14,0.00329011,0.126953,0.000957279
15,0.0170282,0.143836,0.337662
16,0.00341104,0.157192,0.267129
17,0.00146525,0.157636,0.00888113
18,0.0161861,0.171413,0.275542
19,0.0070758,0.187683,0.32539
20,-0.000190669,0.188946,0.0252624
21,0.0145488,0.199015,0.201377
22,0.0109576,0.217864,0.376992
23,-0.00140428,0.220628,0.0552683
24,0.0122668,0.227083,0.129099
25,0.0143352,0.247177,0.401892
26,-0.00121522,0.252082,0.0980919
27,0.00995619,0.25606,0.0795608
28,0.0163488,0.275684,0.392483
29,0.000466168,0.283187,0.150054
30,0.00781206,0.285782,0.0519126
31,0.0171793,0.303842,0.361198
32,0.00293365,0.314201,0.207166
33,0.00565601,0.316167,0.039324
34,0.0170466,0.33171,0.310853
35,0.00607341,0.345114,0.268089
36,0.00352427,0.347297,0.0436521
37,0.0158304,0.359359,0.241246
38,0.0098162,0.375594,0.324703
39,0.00191193,0.379085,0.0698294
40,0.0135179,0.387219,0.16268
41,0.0135269,0.405132,0.358245
42,0.00170337,0.411086,0.119088
43,0.0105321,0.415938,0.0970376
44,0.0161212,0.433576,0.352754
45,0.00336924,0.442925,0.186979
46,0.00733581,0.445864,0.0587777
47,0.0169609,0.461232,0.307364
48,0.00662103,0.474367,0.262705
49,0.00437896,0.477106,0.0547873
50,0.015798,0.488545,0.228775
51,0.0108794,0.504849,0.326074
52,0.00262974,0.509332,0.0896575
53,0.0128752,0.516357,0.14051
54,0.0148327,0.533815,0.349149
55,0.00320243,0.541732,0.158342
56,0.0091015,0.545559,0.0765418
57,0.0169104,0.561484,0.318495
58,0.00614657,0.573706,0.244441
59,0.00540561,0.576533,0.0565394
60,0.0163367,0.588537,0.240086
61,0.0106615,0.604482,0.318899
62,0.00314025,0.608946,0.0892826
63,0.0132684,0.616092,0.142913
64,0.0150502,0.633329,0.344748
65,0.0037761,0.641666,0.16675
66,0.00899856,0.645355,0.0737686
67,0.0171698,0.66065,0.305911
68,0.00723136,0.673732,0.261623
69,0.00503596,0.676773,0.0608355
70,0.0160099,0.687502,0.214571
71,0.0122067,0.704031,0.330581
72,0.00335742,0.7096,0.111375
73,0.0121728,0.715413,0.116267
74,0.0162616,0.732103,0.333803
75,0.00522072,0.742359,0.205111
76,0.00753902,0.745563,0.0640777
77,0.0171558,0.758947,0.267688
78,0.00969923,0.773796,0.296974
79,0.00426476,0.777891,0.0819072
80,0.0144708,0.786102,0.164221
81,0.0146135,0.802831,0.334575
82,0.00447762,0.81089,0.161178
83,0.00988667,0.815204,0.0862792
84,0.0170707,0.830031,0.296551
85,0.00803768,0.84299,0.259184
86,0.00582583,0.846751,0.0752133
87,0.0157446,0.856969,0.204361
88,0.0129435,0.872895,0.318524
89,0.0047341,0.8796,0.134096
90,0.0117179,0.885404,0.116074
91,0.0162746,0.90064,0.304723
92,0.00726552,0.911962,0.226445
93,0.00750881,0.916215,0.0850507
94,0.0160842,0.927725,0.230196
95,0.0116714,0.942449,0.294489
96,0.00566114,0.948647,0.123964
97,0.0128734,0.955888,0.144811
98,0.0152159,0.970775,0.297738
99,0.00727053,0.98095,0.203496
100,0.00898057,0.98617,0.104407
101,0.015742,0.998224,0.241087
102,0.0109541,1.0117,0.269495
103,0.00691115,1.01809,0.127796
104,0.0133553,1.02644,0.167062
105,0.0142169,1.04051,0.281392
106,0.00786072,1.05009,0.191625
107,0.0100748,1.05644,0.126941
108,0.0150214,1.06843,0.239863
109,0.0107699,1.08084,0.248122
110,0.00819858,1.08787,0.14072
111,0.0133106,1.09693,0.181028
112,0.013453,1.10999,0.261217
